"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CXCR4",1.71770996596132e-10,0.28744572359573,0.697,0.567,2.35566744731936e-06,"0","CXCR4"
"ACAP1",2.04007206034019e-10,0.595629766985179,0.392,0.272,2.79775482355054e-06,"0","ACAP1"
"COX7C",3.57106130327344e-10,0.349814109913761,0.757,0.677,4.8973534713092e-06,"0","COX7C"
"LAT",5.93426848598908e-10,0.40854757405101,0.303,0.191,8.13825580168542e-06,"0","LAT"
"ST13",6.06088767725448e-10,0.523686768287052,0.48,0.376,8.3119013605868e-06,"0","ST13"
"GIMAP7",7.62037086528499e-10,0.270553139367673,0.621,0.512,1.04505766046518e-05,"0","GIMAP7"
"PSIP1",1.52321189256184e-09,0.477287062428943,0.26,0.164,2.08893278945931e-05,"0","PSIP1"
"SNRPD2",4.39652833063782e-09,0.361918132833691,0.636,0.546,6.02939895263671e-05,"0","SNRPD2"
"CYTIP",4.97682937744672e-09,0.279677182762372,0.424,0.314,6.82522380823043e-05,"0","CYTIP"
"DDX5",5.90857182629092e-09,0.272849690184752,0.87,0.794,8.10301540257537e-05,"0","DDX5"
"PPA1",8.42920592586969e-09,0.387478298466804,0.387,0.291,0.000115598130067377,"0","PPA1"
"BTG2",8.70379270693245e-09,0.455958785853545,0.437,0.336,0.000119363813182872,"0","BTG2"
"CD69",1.26869697303592e-08,0.29299568759236,0.455,0.328,0.000173989102882146,"0","CD69"
"JUN",1.42196652129537e-08,0.304539856802843,0.776,0.731,0.000195008488730447,"0","JUN"
"RSL1D1",1.65890844556389e-08,0.429641386684509,0.405,0.301,0.000227502704224632,"0","RSL1D1"
"EEF1G",2.13251395075156e-07,0.41700203518435,0.308,0.223,0.00292452963206069,"0","EEF1G"
"NBEAL1",3.14733080616743e-07,0.260924434629617,0.741,0.666,0.00431624946757802,"0","NBEAL1"
"UXT",4.94070655145731e-07,0.334983177713762,0.471,0.387,0.00677568496466855,"0","UXT"
"EIF3E",9.10132319218234e-07,0.384824959754989,0.433,0.356,0.0124815546257589,"0","EIF3E"
"CCDC109B",2.04716905978228e-06,0.46304680890286,0.387,0.306,0.0280748764858542,"0","CCDC109B"
"STK17A",4.10756679293839e-06,0.252586429867571,0.389,0.294,0.0563311709983571,"0","STK17A"
"SPOCK2",6.07409276929642e-06,0.336353937124203,0.27,0.188,0.0833001082381311,"0","SPOCK2"
"CUTA",2.41804325268174e-05,0.363546025203925,0.485,0.418,0.331610451672774,"0","CUTA"
"MZT2B",3.03730505243581e-05,0.348094602863298,0.427,0.359,0.416536014891047,"0","MZT2B"
"CITED2",4.60283913621997e-05,0.374875952563396,0.278,0.212,0.631233359141207,"0","CITED2"
"SNHG8",6.30313168137594e-05,0.462318938832149,0.301,0.233,0.864411478783896,"0","SNHG8"
"RPL39",9.96083111013525e-05,0.355169619874787,0.325,0.257,1,"0","RPL39"
"TMA7",0.000146655573259423,0.286147363226291,0.727,0.654,1,"0","TMA7"
"MZT2A",0.000178878268192758,0.281174467022366,0.308,0.245,1,"0","MZT2A"
"CCNI",0.000254110042129155,0.253246011770545,0.675,0.615,1,"0","CCNI"
"TOMM20",0.000350395889346217,0.27790290445937,0.313,0.256,1,"0","TOMM20"
"SON",0.000486900610035537,0.322013215735726,0.354,0.301,1,"0","SON"
"SF1",0.000648564453607734,0.291354083118974,0.348,0.292,1,"0","SF1"
"MRPS21",0.00163635290369979,0.427603990847052,0.265,0.212,1,"0","MRPS21"
"PCNP",0.00245094430069394,0.356776977058198,0.291,0.245,1,"0","PCNP"
"NDUFS5",0.00259331410246958,0.266279208907655,0.431,0.386,1,"0","NDUFS5"
"SEPT1",0.00302667883538225,0.363300471820039,0.269,0.221,1,"0","SEPT1"
"S100A9",0,5.57168068929343,0.996,0.215,0,"1","S100A9"
"S100A8",0,5.47684426179694,0.975,0.121,0,"1","S100A8"
"LGALS2",0,3.80599405553791,0.909,0.059,0,"1","LGALS2"
"FCN1",0,3.39584669653776,0.952,0.15,0,"1","FCN1"
"CD14",1.03495244101648e-295,2.81942478453829,0.667,0.027,1.41933377761e-291,"1","CD14"
"TYROBP",1.0052190895312e-284,3.04870542625368,0.994,0.265,1.37855745938308e-280,"1","TYROBP"
"MS4A6A",1.65951876025223e-278,2.89670802916997,0.686,0.041,2.2758640278099e-274,"1","MS4A6A"
"CST3",2.07820498066081e-269,3.01105188945962,0.992,0.266,2.85005031047824e-265,"1","CST3"
"LYZ",3.89129891956751e-268,4.5532297511177,1,0.516,5.33652733829489e-264,"1","LYZ"
"TYMP",8.82235574830444e-241,2.59261600925904,0.919,0.222,1.20989786732247e-236,"1","TYMP"
"CFD",9.73925769506141e-233,2.33369868608909,0.786,0.106,1.33564180030072e-228,"1","CFD"
"LST1",1.50546401383709e-229,2.03203205588011,0.958,0.223,2.06459334857619e-225,"1","LST1"
"LGALS1",2.36852481706531e-229,2.59111951645114,0.979,0.365,3.24819493412337e-225,"1","LGALS1"
"AIF1",1.15351576460531e-227,2.27672896719021,0.958,0.244,1.58193151957972e-223,"1","AIF1"
"GSTP1",1.20186200746214e-217,2.48440734072637,0.944,0.352,1.64823355703359e-213,"1","GSTP1"
"GRN",1.87949467032721e-217,2.43385266000211,0.759,0.127,2.57753899088674e-213,"1","GRN"
"GPX1",1.15136989577697e-216,2.25667207395134,0.923,0.312,1.57898867506854e-212,"1","GPX1"
"FTL",2.11746984598199e-214,2.60345110628323,1,0.987,2.9038981467797e-210,"1","FTL"
"S100A6",2.14446207116407e-206,2.01960575527754,0.996,0.735,2.94091528439441e-202,"1","S100A6"
"FTH1",2.11105398581151e-200,2.19410105512332,1,0.987,2.89509943614191e-196,"1","FTH1"
"FCER1G",1.82023318589455e-194,1.82317609411767,0.94,0.229,2.49626779113578e-190,"1","FCER1G"
"CTSS",8.86298742396881e-185,2.11916521978373,0.944,0.429,1.21547009532308e-180,"1","CTSS"
"CD68",1.82736002637466e-180,2.0231671887333,0.709,0.114,2.5060415401702e-176,"1","CD68"
"CEBPD",2.69631983465975e-179,2.17745090469808,0.692,0.121,3.69773302125238e-175,"1","CEBPD"
"S100A4",1.23732968512577e-177,1.64882199152445,1,0.771,1.69687393018148e-173,"1","S100A4"
"LGALS3",3.25918395993117e-173,2.23435687786443,0.715,0.142,4.46964488264961e-169,"1","LGALS3"
"NPC2",1.51637999584409e-172,2.10581239414283,0.879,0.315,2.07956352630058e-168,"1","NPC2"
"AP1S2",2.83230066658763e-172,2.18746151478493,0.765,0.194,3.88421713415828e-168,"1","AP1S2"
"OAZ1",2.0191570641957e-170,1.41726137110084,0.996,0.893,2.76907199783798e-166,"1","OAZ1"
"CDA",1.73200868090269e-167,2.05776800567685,0.543,0.058,2.37527670498995e-163,"1","CDA"
"PSAP",1.88510648686425e-167,1.90009267264029,0.923,0.417,2.58523503608563e-163,"1","PSAP"
"S100A11",4.22873877280629e-167,1.85349156761914,0.95,0.432,5.79929235302655e-163,"1","S100A11"
"SAT1",5.36923049556574e-163,1.8903922827741,0.967,0.507,7.36336270161886e-159,"1","SAT1"
"NCF2",1.36513602109217e-161,2.04757741948659,0.588,0.084,1.8721475393258e-157,"1","NCF2"
"CFP",1.77416180028343e-161,1.93715266554907,0.647,0.11,2.4330854929087e-157,"1","CFP"
"CSF3R",2.66151064184804e-158,1.87069448259099,0.464,0.038,3.6499956942304e-154,"1","CSF3R"
"COTL1",3.62721167496719e-156,1.65376186645023,0.973,0.553,4.97435809105e-152,"1","COTL1"
"BLVRB",1.15809948460205e-155,1.8997124678639,0.551,0.075,1.58821763318325e-151,"1","BLVRB"
"SERPINA1",5.49651632492688e-155,1.8242268761297,0.711,0.143,7.53792248800472e-151,"1","SERPINA1"
"ASGR1",1.5218947486486e-150,1.72407317449158,0.37,0.015,2.08712645829669e-146,"1","ASGR1"
"NUP214",1.0958955413135e-149,1.80359354930897,0.514,0.062,1.50291114535733e-145,"1","NUP214"
"GABARAP",3.28727066550515e-147,1.78233487155859,0.875,0.404,4.50816299067377e-143,"1","GABARAP"
"ALDH2",4.26285223656076e-146,1.77581168907214,0.441,0.038,5.84607555721942e-142,"1","ALDH2"
"FCGRT",1.66506526102096e-145,2.01759937456599,0.653,0.14,2.28347049896414e-141,"1","FCGRT"
"IFI30",1.2440950074812e-142,1.65962328748589,0.555,0.079,1.70615189325971e-138,"1","IFI30"
"CYBA",1.34748769573015e-142,1.28969223012255,0.99,0.815,1.84794462592433e-138,"1","CYBA"
"FPR1",8.98120071391941e-140,1.78165402834047,0.426,0.038,1.23168186590691e-135,"1","FPR1"
"FOLR3",7.07037457772656e-139,1.65880727045822,0.299,0.004,9.6963116958942e-135,"1","FOLR3"
"PYCARD",6.83261973681971e-138,1.65357534244136,0.809,0.274,9.37025470707456e-134,"1","PYCARD"
"TKT",1.16346799991082e-137,1.78606866968388,0.782,0.255,1.5955800150777e-133,"1","TKT"
"SPI1",1.7212917218877e-135,1.7196387679005,0.632,0.121,2.36057946739679e-131,"1","SPI1"
"RAC1",1.67340011301711e-130,1.70528549398131,0.852,0.348,2.29490091499167e-126,"1","RAC1"
"TSPO",3.08553674221334e-128,1.77490308287275,0.848,0.395,4.23150508827138e-124,"1","TSPO"
"SLC7A7",1.48054812146996e-125,1.64901187712396,0.47,0.063,2.03042369378391e-121,"1","SLC7A7"
"RBP7",6.65417118944552e-125,1.64954171513709,0.312,0.013,9.12553036920558e-121,"1","RBP7"
"BRI3",8.26900734217464e-125,1.66221470513163,0.588,0.12,1.13401166690583e-120,"1","BRI3"
"TNFSF13B",1.2652974545591e-121,1.92529115411558,0.507,0.085,1.73522892918234e-117,"1","TNFSF13B"
"S100A12",3.38074411674564e-121,1.85639370165614,0.277,0.006,4.63635248170497e-117,"1","S100A12"
"IGSF6",1.68199809214967e-119,1.60593020991075,0.403,0.043,2.30669218357406e-115,"1","IGSF6"
"IFITM3",1.27259272928079e-118,1.71335477055083,0.624,0.137,1.74523366893568e-114,"1","IFITM3"
"RNF130",5.88003957903464e-115,1.66299810792683,0.526,0.103,8.06388627868811e-111,"1","RNF130"
"GAPDH",1.11624758991252e-113,1.26175876108682,0.969,0.825,1.53082194480602e-109,"1","GAPDH"
"TALDO1",1.66443538158514e-113,1.51809605694425,0.755,0.285,2.28260668230586e-109,"1","TALDO1"
"VCAN",5.25093806681223e-113,1.47286149380194,0.37,0.036,7.20113646482629e-109,"1","VCAN"
"BST1",5.38074148055671e-112,1.33607606084006,0.316,0.02,7.37914886643548e-108,"1","BST1"
"MNDA",4.17859644286071e-109,1.53583321190611,0.424,0.06,5.73052716173918e-105,"1","MNDA"
"PLBD1",4.33354206103756e-109,1.64368280773168,0.343,0.031,5.94301958250691e-105,"1","PLBD1"
"APOBEC3A",3.86392440191849e-108,1.8542923952185,0.422,0.059,5.29898592479101e-104,"1","APOBEC3A"
"CTSH",1.58281331375213e-100,1.48226494137211,0.501,0.105,2.17067017847967e-96,"1","CTSH"
"IFI6",8.28271499401156e-100,1.56576161324948,0.773,0.321,1.13589153427875e-95,"1","IFI6"
"CTSB",3.0018029092381e-99,1.6475176273302,0.53,0.127,4.11667250972913e-95,"1","CTSB"
"NEAT1",1.75454335016592e-98,1.32037694135475,0.917,0.578,2.40618075041754e-94,"1","NEAT1"
"CPVL",2.46770962361495e-97,1.53397207584728,0.385,0.056,3.38421697782554e-93,"1","CPVL"
"ODF3B",9.03458245865827e-95,1.46644962499638,0.393,0.061,1.2390026383804e-90,"1","ODF3B"
"AP2S1",6.59162509268258e-94,1.49622086415701,0.701,0.276,9.0397546521049e-90,"1","AP2S1"
"TGFBI",2.70185230328089e-90,1.27919338801071,0.36,0.051,3.70532024871941e-86,"1","TGFBI"
"SMCO4",4.4168269200125e-89,1.38272404516147,0.356,0.05,6.05723643810514e-85,"1","SMCO4"
"LILRA5",7.14796881695018e-89,1.29971783790249,0.385,0.061,9.80272443556548e-85,"1","LILRA5"
"TMEM176B",6.47784665500824e-87,1.2174219516909,0.266,0.021,8.8837189026783e-83,"1","TMEM176B"
"SH3BGRL3",2.51695919665723e-86,0.868047898145651,0.973,0.833,3.45175784229573e-82,"1","SH3BGRL3"
"HLA-DRA",5.150240142066e-85,0.809955184519104,0.942,0.475,7.06303933082931e-81,"1","HLA-DRA"
"CD33",1.32437146689656e-84,1.21593245122618,0.281,0.027,1.81624302970194e-80,"1","CD33"
"RAB32",3.18985506951773e-84,1.32238288368207,0.308,0.037,4.37456724233661e-80,"1","RAB32"
"ARPC1B",6.90147284229936e-81,1.10767595066428,0.927,0.708,9.46467985592934e-77,"1","ARPC1B"
"ANXA2",5.22179944632407e-79,1.31413320989778,0.761,0.365,7.16117576068884e-75,"1","ANXA2"
"TMSB10",5.55335377295498e-79,0.569877699144886,1,0.992,7.61586936423047e-75,"1","TMSB10"
"C1orf162",1.50097392330303e-78,1.25622482267723,0.736,0.312,2.05843563841778e-74,"1","C1orf162"
"STX11",8.63153988185921e-78,1.42232276871478,0.393,0.076,1.18372937939817e-73,"1","STX11"
"IL8",9.26765768165757e-78,1.92889319804108,0.277,0.031,1.27096657446252e-73,"1","IL8"
"CAPG",1.65269252359066e-76,1.32228609865798,0.538,0.165,2.26650252685223e-72,"1","CAPG"
"RGS2",4.8681519543014e-76,1.41522564892824,0.599,0.206,6.67618359012895e-72,"1","RGS2"
"CEBPB",2.67186667864577e-75,1.26077048768914,0.665,0.248,3.66419796309481e-71,"1","CEBPB"
"PLAUR",1.34219879045237e-74,1.27744967509268,0.36,0.067,1.84069142122638e-70,"1","PLAUR"
"SRGN",1.60016862673733e-74,1.0437383126659,0.873,0.538,2.19447125470757e-70,"1","SRGN"
"VIM",5.06979747991593e-74,1.09053106659054,0.921,0.775,6.95272026395671e-70,"1","VIM"
"LY86",5.28637415336757e-74,1.30740115599645,0.484,0.127,7.24973351392829e-70,"1","LY86"
"KLF4",6.92344424587671e-74,1.30756829659478,0.36,0.067,9.49481143879532e-70,"1","KLF4"
"AGTRAP",7.09187227660007e-73,1.25637922654844,0.414,0.095,9.72579364012934e-69,"1","AGTRAP"
